,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
0,545000.0,1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2017,Maruti Baleno,6.0
2,450000.0,1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2015,Maruti Swift,8.0
4,160000.0,1086.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2009,Hyundai i10,14.0
5,470000.0,1197.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra,2015,Hyundai i20,8.0
6,360000.0,1047.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,2017,Tata Tiago,6.0
7,200000.0,1086.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2010,Hyundai i10,13.0
8,370000.0,1196.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2016,Maruti Eeco,7.0
10,330000.0,1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra,2014,Honda Amaze,9.0
11,475000.0,1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2018,Hyundai Xcent,5.0
12,686000.0,1462.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra,2020,Maruti Ciaz,3.0
13,1250000.0,1493.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra,2021,Hyundai Venue,2.0
14,1100000.0,1396.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra,2021,Hyundai Venue,2.0
15,395000.0,998.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra,2019,Maruti Alto,4.0
16,350000.0,998.0,Third Party insurance,Manual,40000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2016,Maruti Wagon,7.0
17,289000.0,1496.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra,2011,Toyota Etios,12.0
19,1000000.0,998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra,2021,Kia Sonet,2.0
20,785000.0,1462.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2020,Maruti Ciaz,3.0
23,375000.0,1248.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2015,Maruti Swift,8.0
24,100000.0,998.0,Third Party insurance,Manual,120000.0,Third Owner,Petrol,67.1,5.0,20.92,Hatchback,Agra,2011,Maruti Alto,12.0
